Docket or petition number,Town,Address,User,Tower type,Antenna height,Tower height,Antennas,5G services,Backup power type
East Hampton,* Public Works Drive,Sprint,monopole,177,180,,,,
Brooklyn,** Tiffany Street,Cingular,water tank,131,130,,,,
Bloomfield,*** Park Avenue,T-Mobile,monopole,138,140,,,,
Bridgeport,*** Kaechele Place,ATT Wireless,monopole,140,150,,,,
,Berlin,*** Kensington Road,T-Mobile,monopole,181,190,,,
Bloomfield,*** Blue Hills Avenue,Verizon,monopole,110,110,,,,
Colchester,** Westchester Road,Cingular,monopole,159,180,,,,
Bolton,*** Boston Turnpike,United Cable TV Corp,self-support lattice,48,63,,,,
East Haddam,*** Parker Road,SNET/SCLP,guyed-lattice,194,300,,,,
Brooklyn,*** Grant Hill Road,Sprint,monopole,,150,,,,
,Avon,** Redwood Lane,Pocket (now MetroPCS),monopole,77,105,,,
Cromwell,*** Berlin Road,AT&T,self-support lattice,82,111,,,,
Branford,** Sylvia Street,Verizon,monopole,112,125,,,15kW diesel generator,
Branford,*** West Main Street,Verizon,monopole,110,120,,,diesel generator,
Colchester,*** Old Hartford Road,AT&T,monopole,55,61,,,,
,Ansonia,*** Wakelee Avenue,Clearwire,self-support lattice,194,196,,,
Bloomfield,*** Park Avenue,Sprint,monopole,115,140,,,,
Colchester,*** Route **,Cingular,monopole,150,180,,,,
East Hampton,*** Young Street,AT&T,monopole,120,120,,,,
,Ashford,** Seles Road,Cingular,guyed-lattice,140,190,,,
,Avon,** Redwood Lane,Clearwire,monopole,91,105,,,
Colchester,** Munn Road,Omni,self-support lattice,238,320,,,,
Coventry,*** Riley Mountain Road,AT&T,monopole,,150,,,diesel generator,
Petition No. 479,Bethel,* Stony Hill Road,Nextel/AT&T,utility pole,156; 145,140,,,
,Avon,*** Deercliff Road,DISH,guyed-lattice,202,560,,yes,
Branford,*** Brushy Plain Road,SNET/SCLP,monopole,132,150,,,,
Cheshire,*** Highland Avenue,Cingular/AT&T,monopole,138,160,,,,
,Ansonia,*** Wakelee Avenue,Cingular/AT&T,self-support lattice,158,196,,,
East Haddam,Haywardville Road,AT&T,monopole,177,180,,,diesel generator,
Docket No. 173,Beacon Falls,*** Rimmon Hill Road,BAM,monopole,150,160,,,
East Haven,*** Commerce Street,Cingular,monopole,57,57,,,,
Cheshire,*** Highland Avenue,Verizon,monopole,117,160,,,,
Colchester,** Munn Road,Verizon,self-support lattice,175,320,,,,
,Avon,** Redwood Lane,AT&T,monopole,100,105,,,
Bloomfield,* Hoskins Road,Cingular,self-support lattice,155,180,,,,
,Bloomfield,**** Blue Hills Avenue,AT&T,self-support lattice,97,130,,,
Bristol,*** Terryville Avenue,Verizon,monopole,140,170,,,,
,Andover,*** Bunker Hill Road,AT&T,monopole,137,178,,,
,Ansonia,*** Wakelee Avenue,Verizon,self-support lattice,178,196,,,
Burlington,** Nepaug Road,Sprint,monopole,110,120,,,,
Danbury,** Sugar Hollow Road,DISH,monopole,59,106,,yes,,
,Beacon Falls,*** Lopus Road,T-Mobile,monopole,135,150,,,
Bolton,*** Vernon Road,CL&P/NU,guyed-lattice,see comments,280,,,,
,Bethel,** Spring Hill Lane,Verizon,monopole,95,125,,,
Clinton,** Meadow Road,AT&T,self-support lattice,,,,,diesel generator,30-kilowatt
,Avon,** Montevideo Road,T-Mobile,self-support lattice,147,150,,,
Deep River,*** Winthrop Road,Verizon,monopole,178,180,,,,
,Beacon Falls,*** Rimmon Hill Road,Cingular/AT&T,monopole,157,170,,,
Bridgeport,*** Pine Street,Sprint Nextel,self-support lattice,85,250,,,,
,Berlin,**** Chamberlain Highway,Verizon,monopole,94,125,,,
,Ansonia,*** Wakelee Avenue,SNET/Cingular,self-support lattice,167,196,,,
Danbury,** Hospital Avenue,Sprint Nextel,rooftop,"155, 131",185,,,,
Bozrah,Polly Lane,Cingular,guyed-lattice,192,185,,,,
Deep River,*** Winthrop Road,VoiceStream,monopole,160,180,,,,
,Beacon Falls,*** Rimmon Hill Road,Nextel,monopole,137-5,160,,,
,Avon,*** Deercliff Road,Lightsquared,guyed-lattice,557,560,,,
Cromwell,*** West Street,Verizon,monopole,64,77,,,,
Docket No. 172,Berlin,*** New Park Drive,TCI Cable,n/a,,,,,
,Ashford,** Janoski Road,SNET/Cingular,self-support lattice,140,190,,,
,Berlin,**** Chamberlain Highway,T-Mobile,monopole,101,125,,,
Branford,***-*** North Main Street,Verizon,monopole,"97, 103",110,,,,
,Avon,** Redwood Lane,Cingular,monopole,97,105,,,
,Avon,*** Deercliff Road,Pocket (now MetroPCS),guyed-lattice,214,560,,,
Branford,*** West Main Street,Verizon,monopole,110,130,,,,
Bolton,** South Street,AT&T,monopole,120,120,,,,
Bolton,*** Vernon Road,AT&T,guyed-lattice,164,280,,,,
,Bethany,* Meyers Road,Cingular,self-support lattice,165,338,,,
Bloomfield,* Hoskins Road,BAM,self-support lattice,145,180,,,,
,Bloomfield,**** Blue Hills Avenue,T-Mobile,self-support lattice,127,130,,,
East Hartford,*** Prestige Park Road,SNET Cellular,monopole,150,150,,,,
,Ashford,** Seles Road,AT&T,guyed-lattice,138,190,,,
Colchester,** Munn Road,New Cingular,self-support lattice,200,320,,,,
,Avon,** Redwood Lane,T-Mobile,monopole,top,105,,,
Bristol,*** Terryville Avenue,Sprint,monopole,158,170,,,,
Cheshire,*** Higgins Road,T-Mobile,self-support lattice (type J),212,269,,,,
Bridgeport,*** Kaechele Place,SNET/SCLP,monopole,157,150,,,,
,Berlin,**** Chamberlain Highway,Pocket (now MetroPCS),monopole,75,125,,,
Durham,***R Old Blue Hills Road,Sprint,monopole,87,120,,,,
,Andover,*** Bunker Hill Road,SNET,monopole,137,180,,,
Bloomfield,* Hoskins Road,SNET/SCLP,self-support lattice,50,180,,,,
Cheshire,*** Higgins Road,Verizon,self-support lattice,top,250,,,,
East Granby,*** Newgate Road,BAM,monopole,80,83,,,,
,Bethany,* Meyers Road,Cingular,self-support lattice,n/a,338,,,
Clinton,** Meadow Road,,self-support lattice,,195,,,,
Danbury,** Newtown Road,Sprint Nextel,monopole,78,96,,,,
Bloomfield,** Brewer Drive,Omni,monopole,110,120,,,,
,Berlin,*** Beckley Road,Verizon,monopole,116,150,,,
East Granby,** South Main Street,T-Mobile,monopole,90,98,,,,
Deep River,*** Winthrop Road,DISH,monopole,140,180,,yes,,
Colchester,*** Route **,DISH,monopole,120,180,,yes,,
Cheshire,**** Highland Avenue,var.,silo,var.,78,,,,
Danbury,** Padanaram Road,AT&T,monopole,140,145,,yes,diesel fueled,15-kilowatt
,Andover,*** Bunker Hill Road,DISH,monopole,124,178,,yes,
Danbury,** Newtown Road,AT&T,monopole,,96,,,,
,Ashford,** Seles Road,Sprint,guyed-lattice,170,190,,,
Bloomfield,* Hoskins Road,Cingular/AT&T,self-support lattice,108,180,,,,
Branford,***-*** North Main Street,DISH,monopole,136,147,,yes,,
Cheshire,**** Highland Avenue,,silo,,78,,yes,deisel generator,80 kW
Clinton,** Cow Hill Road,Verizon,self-support lattice,209,212,,,,
Canton,** Powder Mill Road,T-Mobile,monopole,167,180,,yes,,
Cheshire,*** Highland Avenue,AT&T,monopole,138,160,,,,
Danbury,** Hospital Avenue,Sprint,rooftop,var.,185,,,,
,Ansonia,*** Wakelee Avenue,Verizon,self-support lattice,178,196,,,diesel generator
Sub-petition No. 1133,Berlin,**** Chamberlain Highway,AT&T,monopole,133,133,,,
Bristol,*** Terryville Avenue,Sprint,monopole,150,170,,,,
Danbury,*** Boxwood Lane,T-Mobile,self-support lattice,83,100,,,,
Danbury,** West Street,AT&T,self-support lattice,47.6' & 54.5',73,,,,
Canterbury,** Cemetery Road,Verizon,monopole,157,160,,,battery & diesel generator,20-kW
Cheshire,*** Academy Road,Verizon,Monopine,90,95,,,,
Cromwell,*** Berlin Road,T-Mobile,self-support lattice,108,111,,,,
Cromwell,*** Coles Road,,,,,,,,
Clinton,** Meadow Road,AT&T,self-support lattice,150,195,,,,
Branford,** Sylvia Street,Sprint,monopole,,,,,,
Branford,*** Brushy Plain Road,Verizon,monopole,110,154,,,,
,Berlin,*** Kensington Road,Cingular,monopole,149,190,,,
Clinton,** Meadow Road,T-Mobile,self-support lattice,193,195,,,,
Brooklyn,Wolf Den Road,Tele-Media,guyed-lattice,145,150,,,,
,Ansonia,*** Wakelee Avenue,Sprint,self-support lattice,185,196,,,
Cromwell,*** Main Street,Cingular,monopole,115,125,,,,
Cromwell,*** Main Street,DISH,monopole,85,125,,yes,,
Petititon No. 1532,Avon,*** Deercliff Road,T-Mobile,guyed-lattice,,,,,
Burlington,** Nepaug Road,New Cingular,monopole,120,120,,,,
Bloomfield,* Hoskins Road,Sprint,self-support lattice,80,100,,,,
,Beacon Falls,** Rice Lane,T-Mobile,monopole,142,160,,,
,Bethany,* Meyers Road,Light Squared,self-support lattice,326,338,,,
East Hartford,*** Sunset Ridge Drive,T-Mobile,self-support lattice,120,140,,,,
Colebrook,*** Pinney Street,AT&T,monopole,140,150,,,,
Bristol,** Farmington Avenue,Verizon,small cell,27,17,,,,
Danbury,* Westview Drive,T-Mobile,self-support lattice,50,100,,,,
Bolton,** South Street,Pocket (now MetroPCS),monopole,99,120,,,,
Branford,***-*** North Main Street,Sprint,monopole,n/a,157,,,diesel,
Bridgeport,*** Pine Street,Sprint,self-support lattice,118,250,,,,
East Hampton,* Public Works Drive,Cingular,monopole,170,180,,,,
Bolton,*** Vernon Road,BAM,guyed-lattice,120/112',280,,,,
Danbury,** Hospital Avenue,T-Mobile,rooftop,127,185,,,,
Chaplin,*** Palmer Road,American Tower Corporation,,,,,,diesel generator,50-kilowatt
Branford,***-*** North Main Street,BAM,monopole,110,110,,,,
Colchester,*** Route **,Verizon,monopole,163,180,,,,
Colchester,*** Route **,AT&T,monopole,150,180,,,,
Canterbury,** Westminster Road,DISH,monopole,141,180,,yes,,
,Ashford,** Knowlton Hill Road,,monopole,,150,,,
,Bethany,* Meyers Road,American Tower,self-support lattice,n/a,338,,,diesel generator
,Bloomfield,**** Blue Hills Avenue,AT&T Wireless,self-support lattice,108,125,,,
Cromwell,*** Berlin Road,MetroPCS,self-support lattice,,111,,,,
Cheshire,**** Cheshire Street,T-Mobile,monopole,129,170,,yes,diesel generator,25-kilowatt
Cromwell,*** West Street,MetroPCS,monopole,,77,,,,
Cheshire,*** Highland Avenue,Sprint Nextel,monopole,158,160,,,,
Bridgeport,**** Trumbull Avenue,BAM,self-support lattice,132,240,,,,
Cheshire,*** Higgins Road,Verizon,self-support lattice,250,250,,,,
Durham,***R Old Blue Hills Road,Verizon,monopole,100,120,,,,
Colchester,*** Route **,,monopole,,180,,,diesel generator,
East Haddam,*** Honey Hill Road,Sprint,monopole,140,150,,,,
,Berlin,**** Chamberlain Highway,AT&T,monopole,65,125,,,
,Andover,*** Jonathan Trumbull Highway,AT&T,monopole,149,150,,,
,Ashford,** Janoski Road,Verizon,self-support lattice,180,190,,,
Brooklyn,*** Brown Rd,T-Mobile,monopole,138,150,,yes,,
Branford,*** West Main Street,Sprint,monopole,120,130,,,,
Brooklyn,*** Grant Hill Road,Cingular,monopole,127,150,,,,
Cheshire,*** Highland Avenue,Cingular,monopole,128,160,,,,
Cheshire,**** Highland Avenue,AT&T,silo,54,78,,,,
East Haven,*** Commerce Street,AT&T,monopole,54,58,,,,
Bristol,*** Terryville Avenue,AT&T,monopole,169,170,,,,
,Berlin,*** Kensington Road,Pocket (now MetroPCS),monopole,106,190,,,
Canaan (Falls Village),*** Route * South,AT&T,monopoleonopine,140,150,,,diesel generator,
Bridgeport,**** Trumbull Avenue,BAM,self-support lattice,145,240,,,,
Brookfield,** Vale Road,AT&T,monopole,161,165,,,,
Bridgeport,*** Kaechele Place,SNET/SCLP,monopole,,,,,,
,Bethel,** Francis J. Clarke Circle,Sprint,monopole,157,155,,,
Bristol,*** Terryville Avenue,Cingular,monopole,169,170,,,,
Danbury,Moses Mountain,SNET/Bell South Wireless,self-support lattice,71,65,,,,
,Bethel,* Stony Hill Road,AT&T Wireless,utility pole,n/a,140,,,
East Hartford,*** Roberts Street Rear,MetroPCS,monopole,100,130,,,,
,Ashford,** Janoski Road,MetroPCS,self-support lattice,160,190,,,
Canton,*** East Hill Road,DISH,monopole,108,150,,yes,,
Chaplin,*** Davis Road,Sprint,monopole,,175,,,,
Bridgeport,**** Trumbull Avenue,Nextel,self-support lattice,,240,,,diesel generator,
Canton,*** East Hill Road,SNET/SCLP/DPS,monopole,117,150,,,,
Colchester,Chestnut Hill Road,Cingular/AT&T,monopole,157,180,,,,
,Avon,** Redwood Lane,Sprint,monopole,87,105,,,
Bristol,*** Terryville Avenue,MetroPCS,monopole,,170,,,,
Branford,*** Brushy Plain Road,SNET/SCLP,monopole,152,150,,,,
East Granby,** South Main Street,T-Mobile,monopole,90,98,,yes,,
,Andover,*** Bunker Hill Road,Verizon,monopole,158,180,,,
Coventry,*** Main Street,AT&T,monopole,90,102,,,,
Bristol,*** Terryville Avenue,AT&T,monopole,,170,,,diesel generator,
Danbury,Moses Mountain,SNET/SCLP/Personal Vision,self-support lattice,53,65,,,,
Darien,*** Ledge Road,AT&T,monopole,,120,,,diesel generator,250-gallon tank
,Bloomfield,**** Blue Hills Avenue,Pocket (now MetroPCS),self-support lattice,77,130,,,
Canton,*** East Hill Road,Pocket (now MetroPCS),monopole,144,150,,,,
East Haven,*** Commerce Street,AT&T,,,,,,,
Durham,***R Old Blue Hills Road,DISH,monopole,34,120,,yes,,
Colchester,** Old Hartford Road,T-Mobile,self-support lattice,97,100,,,,
Danbury,** Sugar Hollow Road,Sprint,monopole,90,106,,,,
Bloomfield,** Brewer Drive,T-Mobile,monopole,108,120,,,,
Cheshire,*** Academy Road,Verizon,Monopine,90,95,,yes,,
,Avon,** Montevideo Road,T-Mobile,self-support lattice,136,150,,,
Branford,* Beaver Road,AT&T,self-support lattice,113,125,,,,
Cromwell,*** Main Street,Verizon,monopole,85,125,,,,
Darien,*** Ledge Road,Verizon,monopole,102,120,,,,
,Barkhamsted,** New Hartford Road,Sprint,monopole,144,144,,,
,Barkhamsted,** New Hartford Road,American Tower Corporation,monopole,117,144,,,
East Haven,*** Commerce Street,Pocket (now MetroPCS),monopole,37,57,,,,
Bloomfield,** Brewer Drive,AT&T,monopole,,120,,,diesel generator,
,Bethel,** Spring Hill Lane,AT&T,monopole,122,125,,,
Cromwell,*** Main Street,Clearwire,monopole,125,125,,,,
Columbia,*** Route ** South,Verizon,monopole,98,120,,,,
Chaplin,*** Palmer Road,Verizon,monopole,150,150,,,,
East Haddam,Haywardville Road,T-Mobile,monopole,160,180,,yes,diesel generator,48-kilowatt
Branford,***-*** North Main Street,MetroPCS,monopole,n/a,157,,,,
Bridgeport,**** Trumbull Avenue,Northcoast,self-support lattice,80,240,,,,
,Andover,*** Bunker Hill Road,AT&T,monopole,127,180,,,
Clinton,** Cow Hill Road,T-Mobile,self-support lattice,140,212,,,,
East Haddam,Haywardville Road,AT&T,monopole,177,180,,,,
,Barkhamsted,** New Hartford Road,Pocket (now MetroPCS),monopole,93,144,,,
Bristol,*** Terryville Avenue,AT&T,monopole,170,170,,,,
Danbury,** Padanaram Road,T-Mobile,monopole,128,145,,yes,diesel fueled,
Colebrook,*** Pinney Street,AT&T,monopole,127,150,,,,
,Avon,*** Deercliff Road,AT&T,guyed-lattice,200,560,,,diesel generator
Danbury,** Newtown Road,MetroPCS,monopole,108,96,,,,
Cheshire,*** Higgins Road,T-Mobile,self-support lattice,212,250,,,,
,Ashford,** Knowlton Hill Road,AT&T,monopole,,150,,,diesel generator
Cromwell,*** Shunpike Road,SNET/Cingular,self-support lattice,114,170,,,,
Danbury,*** Boxwood Lane,Sprint,self-support lattice,,100,,,fuel cell backup,
,Bloomfield,**** Blue Hills Avenue,VoiceStream,self-support lattice,127,125,,,
Bolton,*** Vernon Road,Voicestream,guyed-lattice,180,280,,,,
Cheshire,*** Highland Avenue,Pocket (now MetroPCS),monopole,137,160,,,,
Coventry,*** Riley Mountain Road,Verizon,monopole,126,152,,,,
,Ashford,** Seles Road,Verizon,guyed-lattice,190,190,,,diesel generator
,Ashford,** Knowlton Hill Road,T-Mobile,monopole,147,150,,yes,
Bloomfield,** Brewer Drive,T-Mobile,monopole,108,120,,yes,,
,Ashford,** Knowlton Hill Road,T-Mobile,monopole,147,150,,,
,Andover,*** Bunker Hill Road,VoiceStream,monopole,148,180,,,
Colchester,** Old Hartford Road,NECS,self-support lattice,98,100,,,,
Coventry,*** Riley Mountain Road,Sprint,monopole,,150,,,,
,Berlin,**** Chamberlain Highway,AT&T,monopole,66,125,,,
Bolton,** South Street,T-Mobile,monopole,110,120,,,,
Columbia,** Thompson Hill Road,T-Mobile,monopole,161,180,,yes,,
Durham,** Town House Road,Verizon,monopole,29,30,,,,
Canton,*** East Hill Road,T-Mobile,monopole,134,150,,,,
East Hartford,*** Sunset Ridge Drive,AT&T,self-support lattice,110,140,,,,
Branford,** Sylvia Street,AT&T,monopole,100,125,,,,
Brooklyn,Valentine Road,T-Mobile,self-support lattice,157,180,,,,
Colebrook,*** Pinney Street,Cingular,monopole,137,150,,,,
Coventry,*** Riley Mountain Road,SNET/Cingular,monopole,117,150,,,,
Bridgeport,*** Kaechele Place,Cingular/AT&T,monopole,140,156,,,,
East Hampton,*** Young Street,AT&T,monopole,119,140,,,,
,Ashford,** Janoski Road,AT&T,self-support lattice,141,190,,,
Coventry,*** Riley Mountain Road,Verizon,monopole,127,150,,,,
Cheshire,*** Higgins Road,Sprint,self-support lattice (type J),225,269,,,,
Cromwell,*** West Street,T-Mobile,monopole,51,54,,,,
,Barkhamsted,** New Hartford Road,American Tower Corporation,,,,,,diesel generator
,Bloomfield,**** Blue Hills Avenue,AT&T Wireless,self-support lattice,,125,,,
Bolton,*** Vernon Road,SNET/SCLP,guyed-lattice,188,280,,,,
Branford,***-*** North Main Street,BAM,monopole,108,110,,,,
Branford,***-*** North Main Street,Verizon,monopole,"96, 105",110,,,,
Colchester,*** Route **,Enertrac,monopole,169,180,,,,
East Hartford,*** Roberts Street Rear,Sprint,monopole,"110.00, 70.00",124,,,,
Cheshire,**** Highland Avenue,Verizon,silo,70,78,,,natural gas generator,35 kW
Bolton,*** Vernon Road,Sprint,guyed-lattice,148,280,,,,
Cornwall,** Bell Road Extension,,monopole,,110,,,,
,Ansonia,** Birchwood Drive,MetroPCS,guyed-lattice,51,60,,,
Cheshire,**** Cheshire Street,DISH,monopole,124,170,,yes,,
,Ashford,** Janoski Road,AT&T,self-support lattice,n/a,190,,,diesel generator
Bridgeport,**** Trumbull Avenue,Sprint,self-support lattice,,240,,,fuel cell backup,
Burlington,** Nepaug Road,AT&T,monopole,,120,,,diesel generator,
East Hartford,*** Roberts Street Rear,Sprint,monopole,128,130,,,,
,Berlin,*** Beckley Road,Pocket (now MetroPCS),monopole,142,150,,,
Bristol,*** Terryville Avenue,T-Mobile,monopole,130,170,,,,
Chaplin,*** Palmer Road,Sprint,monopole,137,150,,,,
Brookfield,* Huckleberry Hill Road,AT&T,monopole,57,60,,,,
,Ashford,** Knowlton Hill Road,AT&T,monopole,137,150,,,
Branford,*** West Main Street,Verizon,monopole,110,120,,,,
Brookfield,** Carmen Hill Road,Clearwire,guyed-lattice,"155, 200",455,,,,
Brookfield,*** Park Ridge Road,Sprint,utility pole,135,125,,,,
Cheshire,*** Higgins Road,Sprint,self-support lattice,225,250,,,,
Columbia,*** Route ** South,Cingular,monopole,150,148,,,,
,Avon,*** Deercliff Road,Marcus,guyed-lattice,280,560,,,
Brookfield,** Carmen Hill Road,T-Mobile,guyed-lattice,280,455,,,,
,Berlin,*** Kensington Road,Nextel,monopole,118,190,,,
,Berlin,*** Beckley Road,Cingular/AT&T,monopole,,150,,,
East Haddam,*** Parker Road,AT&T,guyed-lattice,,,,,diesel generator,30-kilowatt
East Granby,** South Main Street,DISH,monopole,48,98,,yes,,
Brooklyn,** Tiffany Street,AT&T,water tank,130,130,,,,
Canton,*** Dyer Avenue,T-Mobile,monopole,65,68,,,,
,Ansonia,* Deerfield Lane,Dish,monopole,117,169,,,
Branford,** Acorn Road,Cingular,monopole,105,150,,,,
Darien,*** Ledge Road,AT&T,monopole,89,117,,,,
Danbury,** Sugar Hollow Road,AT&T,monopole,108,106,,yes,,
Deep River,*** Winthrop Road,Verizon,monopole,178,180,,,propane generator,
Bolton,*** Vernon Road,T-Mobile,guyed-lattice,226,280,,,,
,Avon,** Redwood Lane,MetroPCS,monopole,,105,,,
Bozrah,Polly Lane,T-Mobile,guyed-lattice,182,185,,,,
,Bethel,** Codfish Hill Road,North Atlantic Towers,,,,,,
,Berlin,*** Beckley Road,American Tower Corporation,monopole,,150,,,
Bristol,*** Farmington Avenue,T-Mobile,monopole,115,120,,,,
Cheshire,*** Highland Avenue,Nextel,monopole,108,160,,,,
Danbury,** Lake Avenue Extension,AT&T,utility Pole,"30, 22",25,,yes,,
Danbury,** Newtown Road,AT&T,monopole,108,96,,,,
Bozrah,Polly Lane,AT&T,guyed-lattice,164,185,,,,
,Beacon Falls,*** Rimmon Hill Road,AT&T,monopole,157,173,,,
Docket No. 173,Beacon Falls,*** Rimmon Hill Road,SCLP,monopole,160,160,,,
Bozrah,Polly Lane,SCLP,guyed-lattice,160,185,,,,
Colchester,** Old Hartford Road,Omni,self-support lattice,97,100,,,,
