Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Beacon Falls,00000400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",NORTH MAIN ST,CONN STATE OF,647,8/325,"$176,630",$0,"$176,630","$176,630",POINT (-73.066511519 41.446293058)
Beacon Falls,00173700,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF,0.5,43/541,"$48,440",$0,"$48,440","$48,440",POINT (-73.059924013 41.43508369)
Beacon Falls,00136400,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 NORTH MAIN ST,CONN STATE OF,0.37,40/397,"$40,560",$0,"$40,560","$40,560",POINT (-73.066511519 41.446293058)
Beacon Falls,00140600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NORTH MAIN ST,CONN STATE OF,0.13,17/356,"$40,560",$0,"$40,560","$40,560",POINT (-73.066511519 41.446293058)
Beacon Falls,00110400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00020 LANCASTER DR,CONN STATE OF,2.2,189/539,"$101,640",$0,"$101,640","$101,640",POINT (-73.076877215 41.429822071)
Beacon Falls,00118900,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,0.52,45/280,"$20,020",$0,"$20,020","$20,020",POINT (-73.068501708 41.438523243)
Beacon Falls,00119000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,10.1,43/472,"$272,200",$0,"$272,200","$272,200",POINT (-73.068501708 41.438523243)
Beacon Falls,00152000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00400 PINESBRIDGE RD,CONN STATE OF DEP,131.39,121/148,"$2,029,430","$32,580","$2,062,010","$2,062,010",POINT (-73.0861383 41.433382607)
Beacon Falls,00163700,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF,0.42,40/519,"$40,490",$0,"$40,490","$40,490",POINT (-73.059924013 41.43508369)
Beacon Falls,00177250,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF DEP,9.6,131/226,"$27,420",$0,"$27,420","$27,420",POINT (-73.059924013 41.43508369)
Beacon Falls,00110600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00024 LANCASTER DR,CONN STATE OF,2.6,189/539,"$120,120",$0,"$120,120","$120,120",POINT (-73.076785563 41.430608567)
Beacon Falls,00177450,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF,1.02,43/261,"$59,770",$0,"$59,770","$59,770",POINT (-73.059924013 41.43508369)
Beacon Falls,00119200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,0.34,40/567,"$49,180",$0,"$49,180","$49,180",POINT (-73.068501708 41.438523243)
Beacon Falls,00118600,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,8.4,43/525,"$211,400",$0,"$211,400","$211,400",POINT (-73.068501708 41.438523243)
Berlin,1004330,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 BERLIN TPKE,CONNECTICUT STATE OF,27.7,341/0,"$1,518,200",$0,"$1,518,200","$1,518,200",POINT (-72.74579095 41.61231872)
Berlin,1102310,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 FARMINGTON AVE,CONNECTICUT STATE OF,2.1,128/62,"$222,700","$80,800","$303,500","$303,500",POINT (-72.767789974 41.635065503)
Berlin,1102200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 NORTON LN,CONNECTICUT STATE OF,119.37,0/0,"$275,700",$0,"$275,700","$275,700",POINT (-72.769893066 41.586186864)
Berlin,1035450,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00468 NORTON LN,STATE OF CONNECTICUT DOT,11.64,710/109,"$247,200","$21,400","$268,600","$268,600",POINT (-72.775823024 41.582196984)
Berlin,1461245,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 BERLIN TPKE,CONNECTICUT STATE OF,0.37,0/0,"$66,900",$0,"$66,900","$66,900",POINT (-72.74579095 41.61231872)
Berlin,1055120,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 NORTON LN,ST OF CT DOT DIV OF RIGHTS OF WAY U403,1.1,710/111,"$44,900",$0,"$44,900","$44,900",POINT (-72.769893066 41.586186864)
Berlin,1461452,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WILDERMERE RD,STATE OF CONNECTICUT DEPARTMENT OF TRANS,0.04,767/72,"$2,200",$0,"$2,200","$2,200",POINT (-72.760455564 41.610881403)
Berlin,1102170,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00120 OLD HATCHERY RD,CONNECTICUT STATE OF,40.8,78/0,"$313,800","$259,700","$573,500","$573,500",POINT (-72.795688972 41.585199005)
Berlin,1461391,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 DEPOT RD,ST OF CT DOT DIV OF RIGHTS OF WAY U403,0.4,705/912,"$74,900",$0,"$74,900","$74,900",POINT (-72.764252725 41.636894147)
Berlin,1102220,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 NORTON LN,CONNECTICUT STATE OF,5.3,0/0,"$202,400",$0,"$202,400","$202,400",POINT (-72.769893066 41.586186864)
Berlin,1021340,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 NORTON LN,STATE OF CONNECTICUT DOT,3.03,709/1061,"$23,200",$0,"$23,200","$23,200",POINT (-72.769893066 41.586186864)
Berlin,1461450,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 HERITAGE DR,STATE OF CONNECTICUT DEPARTMENT OF TRANS,0.03,766/270,"$1,800",$0,"$1,800","$1,800",POINT (-72.808839424 41.582781221)
Bethany,00000620,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00900 LITCHFIELD TPK,CONNECTICUT STATE OF,1.95,49/52,"$48,440",$0,"$48,440","$48,440",POINT (-72.987576384 41.45190212)
Bethany,00042400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00320 BEACON RD,CONNECTICUT STATE OF,509,18/173,"$2,636,940",$0,"$2,636,940","$2,636,940",POINT (-73.018062633 41.450884729)
Bethany,00041900,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00360 CHESHIRE RD,CONNECTICUT STATE OF,2.7,33/308,"$55,220",$0,"$55,220","$55,220",POINT (-72.958890823 41.46331198)
Bethany,00061200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00228 BEACON RD,CONNECTICUT STATE OF DEP,27,124/63,"$193,600",$0,"$193,600","$193,600",POINT (-73.008348677 41.452654688)
Bethany,00042100,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00859 AMITY RD,CONNECTICUT STATE OF,0.7,0/0,"$58,800",$0,"$58,800","$58,800",POINT (-72.988171663 41.449000936)
Bethany,00315000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00864 AMITY RD,CONNECTICUT STATE OF,1,38/639,"$49,190",$0,"$49,190","$49,190",POINT (-72.987870031 41.449533736)
Bethany,00042300,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00631 AMITY RD,CONNECTICUT STATE OF,3.67,25/278,"$154,450","$1,052,450","$1,206,900","$1,206,900",POINT (-72.993976973 41.433470003)
Bethany,00000630,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00903 AMITY RD,CONNECTICUT STATE OF,0.5,39/605,"$23,180",$0,"$23,180","$23,180",POINT (-72.987749678 41.452190033)
Bethany,00310400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00152 BROOKS RD,CONNECTICUT STATE OF,19.96,133/396,"$75,450",$0,"$75,450","$75,450",POINT (-72.954267449 41.406144831)
Bethany,00042000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00166 BROOKS RD,CONNECTICUT STATE OF,7.9,0/0,"$96,990",$0,"$96,990","$96,990",POINT (-72.953203995 41.407114006)
Bethel,R06972,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 OLD DODGINGTOWN ROAD,CONNECTICUT STATE OF,9.81,958/769,"$89,320",$0,"$89,320","$89,320",POINT (-73.35571624 41.364503488)
Bethel,R07134,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00013 DURANT AVENUE,CONNECTICUT STATE OF,5.3,489/280,"$480,480","$506,660","$987,140","$987,140",POINT (-73.417706989 41.376101995)
Bloomfield,R90219,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00091 TARIFFVILLE RD,CONNECTICUT STATE OF,41.64,106/85,"$179,970",$0,"$179,970","$179,970",POINT (-72.759810094 41.897148945)
Bloomfield,R90185,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00469R TUNXIS AVE,CONNECTICUT STATE OF,0.23,179/185,"$3,900",$0,"$3,900","$3,900",POINT (-72.746721155 41.893050438)
Bloomfield,R90214,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00116R TARIFFVILLE RD,CONNECTICUT STATE OF,1.05,203/294,"$5,720",$0,"$5,720","$5,720",POINT (-72.759973693 41.897907756)
Bloomfield,R90203,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00017 GIBRALTAR LN,CONNECTICUT STATE OF,131.4,113/111,"$280,490",$0,"$280,490","$280,490",POINT (-72.797367748 41.813338474)
Bloomfield,R03980,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00064 CIDER HILL RD,CONNECTICUT STATE OF,35.37,1803/137,"$171,290",$0,"$171,290","$171,290",POINT (-72.768506363 41.813283517)
Bloomfield,R90196,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00301 TUNXIS AVE,CONNECTICUT STATE OF,371.2,179/185,"$167,860","$4,970","$172,830","$172,830",POINT (-72.742307751 41.862203111)
Bloomfield,R90218,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00061 OLD POQUONOCK RD,CONNECTICUT STATE OF,1,50/537,"$60,480",$0,"$60,480","$60,480",POINT (-72.702531651 41.864401658)
Bloomfield,R90208,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00003 DUNCASTER RD,CONNECTICUT STATE OF,1.08,92/327,"$63,280",$0,"$63,280","$63,280",POINT (-72.770156426 41.835886524)
Bloomfield,R90215,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00302 TUNXIS AVE,CONNECTICUT STATE OF,8.52,88/394,"$54,570",$0,"$54,570","$54,570",POINT (-72.742119259 41.862095225)
Bloomfield,R90207,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00560 SIMSBURY RD,CONNECTICUT STATE OF,513.79,131/410,"$1,678,740",$0,"$1,678,740","$1,678,740",POINT (-72.78194536 41.837419696)
Bloomfield,R93515,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00010 LOEFFLER RD,CONNECTICUT STATE OF,50.1,813/131,"$20,800",$0,"$20,800","$20,800",POINT (-72.758784453 41.830163709)
Bloomfield,R90229,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00061 KENWOOD CIR,CONNECTICUT STATE OF,5.9,314/96,"$21,800",$0,"$21,800","$21,800",POINT (-72.725808784 41.810658524)
Bloomfield,R90198,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00260 WINTONBURY AVE,CONNECTICUT STATE OF,327,254/8,"$258,580",$0,"$258,580","$258,580",POINT (-72.702037637 41.832699595)
Bloomfield,R90220,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00102 OLD WINDSOR RD,CONNECTICUT STATE OF,60.3,50/537,"$168,840",$0,"$168,840","$168,840",POINT (-72.691353582 41.860688821)
Bloomfield,R90226,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00429 TUNXIS AVE,CONNECTICUT STATE OF,3,31/144,"$42,420",$0,"$42,420","$42,420",POINT (-72.744127362 41.881217592)
Bloomfield,R90200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00063 KENWOOD CIR,CONNECTICUT STATE OF,1.1,104/749,"$48,650",$0,"$48,650","$48,650",POINT (-72.725773342 41.810778911)
Bloomfield,R93516,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00016 DUNCASTER RD,CONNECTICUT STATE OF,4.5,645/139,"$47,530",$0,"$47,530","$47,530",POINT (-72.770409345 41.838915706)
Bloomfield,R90187,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00001 TAFT AVE,CONNECTICUT STATE OF,0.19,497/237,"$18,340",$0,"$18,340","$18,340",POINT (-72.704734831 41.817351217)
Bolton,10001706,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00502 HOP RIVER RD,CONNECTICUT STATE OF,1.19,102/537,"$37,300",$0,"$37,300","$37,300",POINT (-72.422491787 41.781327471)
Bolton,10001579,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",04960 BOSTON TPKE,CONNECTICUT STATE OF,3.12,87/145,"$17,500",$0,"$17,500","$17,500",POINT (-72.46325408 41.784075748)
Bolton,10001245,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOOMEY RD,CONNECTICUT STATE OF,31,110/576,"$193,200",$0,"$193,200","$193,200",POINT (-72.435180054 41.773086953)
Bolton,10001427,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00362 BOSTON TPKE,CONNECTICUT STATE OF,7.63,0/0,"$311,300","$727,300","$1,038,600","$1,038,600",POINT (-72.457021024 41.786514005)
Bolton,10000709,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOOMEY RD,CONNECTICUT STATE OF,9.6,110/576,"$96,800",$0,"$96,800","$96,800",POINT (-72.435180054 41.773086953)
Bolton,10002116,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",05100 BOSTON TPKE,CONNECTICUT STATE OF,1.75,87/145,"$9,800",$0,"$9,800","$9,800",POINT (-72.46325408 41.784075748)
